Permit #,Establishment Name,Address,Zip,Est Type,First Seen,Last Seen,Inspections
100038,TABERNACULO FUENTE DE AMOR,1364 DEVONPORT DR,40504,605,2016-09-01,2018-02-06,8
100046,JIMMY JOHN'S,397 WALLER AVE.,40503,605,2016-05-31,2025-08-06,77
100047,BJ'S RESTAURANT & BREWHOUSE,3297 NICHOLASVILLE RD,40503,605,2016-06-16,2025-10-15,62
100048,DV8 KITCHEN,"867 S BROADWAY, SUITE #140",40504,54,2016-06-02,2025-07-21,130
100108,SAV'S CHILL STATE MOBILE,P.O. BOX 1035,40588,52,2016-06-04,2024-05-10,38
100138,STARBUCKS COFFEE #27458,685 WILSON DOWNING RD,40517,605,2016-06-23,2025-09-08,64
100139,GO GO BURGER (STATE MOBILE),3805 BROOKDALE CIRCLE,40514,605,2016-06-13,2022-04-19,42
100240,TAQUERIA EL BUEN SABOR STATE MOBILE,909 SUMMERVILLE DR,40504,605,2017-09-26,2020-01-16,23
100245,SHILLITO POOL CONCESSION STAND,300 E. REYNOLDS RD,40503,603,2016-06-27,2023-07-10,41
100255,RAMONE'S GRILL (COMM),468 SQUIRES RD,40515,605,2016-07-05,2017-05-24,5
100325,PIVOT BREWING COMPANY,1400 DELAWARE AVE,40505,54,2016-08-26,2024-06-26,83
100326,"NORTH SIDE COFFEE AND DOUGHNUTS, LLC",104 W SIXTH ST,40508,605,2017-12-20,2018-12-07,21
100340,EL GOKU STATE MOBILE,370 CODELL DR,40509,605,2016-06-22,2021-09-22,12
100341,THE BURL,375 THOMPSON RD,40508,11,2018-03-06,2025-08-14,42
100342,GOODWOOD,200 LEXINGTON GREEN CIRCLE #110,40503,11,2016-08-02,2025-12-03,53
100419,SNACK SHACK,242 LOCUST FARM RD,40511,610,2016-07-26,2025-10-15,13
100457,THE HENRY AT FRITZ FARM - OUTDOOR,,40517,- OUTDOOR,2025-07-29,2025-07-29,1
100466,PJ COFFEE - ARAMARK UK DINING,550 S. LIMESTONE,40506,UK DINING,2016-07-26,2025-11-06,65
100467,HOUSE OF CUE,111 AVE OF CHAMPIONS,40506,605,2016-08-08,2021-03-31,46
100468,JOE CRAFT FOOTBALL TRAINING CENTER,1540 UNIVERSITY DR,40508,CENTER,2016-07-25,2025-11-13,87
100469,PATTERSON PANTRY,335 S. MLKING BLVD,40506,610,2016-08-24,2017-09-12,2
100471,LIMESTONE PANTRY,111 AVE. OF CHAMPIONS,40506,610,2016-08-19,2023-09-13,12
100472,A S B PANTRY,680 ROSE ST,40506,610,2016-08-24,2021-09-20,7
100473,FRESHII - ACADEMIC SCIENCE BLDG,680 ROSE ST,40506,BLDG,2016-08-08,2025-11-06,50
100484,SUSHI AVENUE (INSIDE FRESH THYME),125 E REYNOLDS RD 110,40517,605,2016-09-26,2016-10-24,2
100485,FRESH THYME FARMER'S MARKET,"125 E REYNOLDS RD, SUITE 110",40517,607,2016-09-07,2017-05-09,10
100504,LOCO ICE,1979 PAVILLION WAY,40509,53,2016-08-05,2024-05-20,12
100514,DIANITA'S ICE CREAM,214 RUGBY RD,40504,610,2016-09-22,2019-03-28,3
100516,FREE FISH AND SALADS,"1474 ANNISTON DRIVE, A1",40505,605,2016-07-19,2023-02-02,11
100537,FREE FOOD #2 (STATE MOBILE),1474 ANNISTON DR A1,40505,605,2016-08-02,2017-04-28,6
100558,UK FOOTBALL LOCKER ROOM HOT PLUNGE SPA,,40506,HOT PLUNGE SPA,2025-11-20,2025-11-20,1
100559,UK FOOTBALL LOCKER ROOM COLD PLUNGE SPA,,40506,COLD PLUNGE SPA,2025-11-20,2025-11-20,1
100561,UK FOOTBALL POLAR PLUNGE POOL,,40506,POOL,2025-11-20,2025-11-20,1
100562,UK FOOTBALL HYDROTHERAPY POOL INDOOR,,40506,POOL INDOOR,2025-11-20,2025-11-20,1
100563,UK FOOTBALL WALK-THRU POOL INDOOR,,40506,POOL INDOOR,2025-11-20,2025-11-20,1
100564,UK FOOTBALL THERMAL PLUNGE POOL,,40506,PLUNGE POOL,2025-11-20,2025-11-20,1
100579,GARRETT MORGAN ELEMENTARY,,40509,,2025-09-09,2025-09-09,1
100580,GARRETT MORGAN ELEMENTARY,1150 PASSAGE MOUND WAY,40509,605,2016-07-27,2025-09-09,51
100586,COVENTRY OAK ELEMENTARY,,40511,,2025-10-21,2025-10-21,1
100587,COVENTRY OAK ELEMENTARY,2441 HUNTLY,40511,605,2016-08-01,2025-10-21,51
100626,HAPPY SUSHI,130 W TIVERTON WAY #175,40503,11,2016-09-13,2025-12-05,71
100627,BOBI CONES,3735 PALOMAR CENTRE DR STE 230,40513,605,2016-08-17,2023-05-31,82
100682,MAI THAI RESTAURANT,304 SOUTHLAND DR,40503,11,2016-08-23,2025-11-24,77
100683,TACOS Y QUESADILLAS EL COMAL (STATE MOBILE),50 IMPERIAL AVE,40511,605,2016-08-16,2018-11-29,11
100695,MIRROR TWIN BREWING CO,725 NATIONAL AVE,40502,CO,2016-09-21,2025-08-05,84
100702,LUNA STATE MOBILE,1806 MARLBORO DRIVE,40505,605,2016-08-19,2023-09-05,32
100703,FIKA AT GRANOLA CULTURE,804 N LIMESTONE,40505,605,2016-09-27,2018-02-27,27
100746,LEXINGTON TRADITIONAL MAGNET SCHOOL,350 N LIMESTONE,40508,603,2016-09-28,2025-09-24,17
100756,TUESDAY MORNING #921,1555 E. NEW CIRCLE RD,40509,610,2016-09-14,2022-11-11,7
100769,MAD DAWGS DOGS (STATE MOBILE),316 LUCILLE DR,40511,605,2016-09-01,2017-07-15,11
100806,LEXINGTON SENIOR CITIZENS CENTER,195 LIFE LANE,40502,CENTER,2016-09-01,2025-12-15,60
100817,SUPERMERCADO LAS NORTENAS,158 E NEW CIRCLE RD,40505,607,2016-09-20,2025-09-08,140
100849,"SKYLINE BP, LLC",1065 NEWTOWN PIKE,40511,54,2016-09-14,2024-06-18,147
100850,SHAKESPEARE AND CO.,1908 BRYANT RD,40509,605,2016-09-19,2020-02-25,52
100886,MIYAKO POKE BOWL,867 S BROADWAY STE 110,40504,11,2016-09-30,2025-12-08,61
100968,LEX VEGGIE POWER (COMM),1555 GEORGETOWN RD,40511,605,2016-10-04,2017-01-25,2
100987,CREATION KINGDOM,2935 TRAILWOOD LANE,40511,605,2016-10-04,2025-09-05,67
101026,LEGACY RESERVE AT FRITZ FARM - INDOOR,,40515,FARM - INDOOR,2025-12-23,2025-12-23,1
101027,RODEWAY INN,750 NEWTOWN CT.,40511,605,2016-10-10,2019-04-29,59
101029,MCCONNELL'S TRACE (OUTDOOR POOL),,40511,POOL),2025-08-26,2025-08-26,1
101061,EL MALECON RESTAURANT,481 W NEW CIRCLE RD STE 170,40511,605,2016-10-17,2025-10-06,101
101062,NOTHING BUNDT CAKES,2358 NICHOLASVILLE RD STE 145,40503,605,2016-11-11,2025-12-01,60
101063,FEEL GOOD NUTRITION LLC,2681 OLD ROSEBUD RD,40509,11,2016-10-20,2024-06-25,48
101085,EMERALD TWENTY FOUR APTS (OUTDOOR POOL),,40511,APTS (OUTDOOR POOL),2025-07-02,2025-07-02,1
101109,TACO N MADRE STATE MOBILE,2504 LARKIN RD #5,40503,605,2016-10-25,2016-10-25,2
101164,MR. ED'S DELI,937 WINCHESTER RD,40505,605,2016-12-29,2018-12-19,32
101247,EVERYBODY EATS CAFE LLC,417 GEORGETOWN ST. STE 130,40508,605,2016-11-30,2021-08-19,48
101253,GOODFELLAS PIZZERIA,1228 MANCHESTER STREET #110,40504,605,2016-12-16,2025-12-11,66
101263,J2C ASIAN BISTRO,561 S BROADWAY SUITE #140,40508,605,2016-11-17,2023-03-14,82
101264,ZAXBY'S,1115 SOUTH BROADWAY,40508,605,2016-11-17,2022-03-29,57
101267,MANJE'S DINER (STATE MOBILE),501 DARBY CREEK DR. 49A,40509,605,2016-11-17,2019-05-14,33
101313,CARSON'S FOOD & DRINK,362 E MAIN STREET,40507,605,2016-11-22,2025-11-11,78
101340,IDEAL SKIN / SUPER HAIR & NAILS,,40502,& NAILS,2025-08-13,2025-08-13,1
101341,MIRROR TWIN BREWING,723 NATIONAL AVENUE,40502,605,2016-11-30,2025-09-25,49
101364,EMERALD TWENTY FOUR APTS (OUTDOOR POOL),,40511,APTS (OUTDOOR POOL),2025-07-02,2025-07-02,1
101370,"RED LIGHT, THE",780 N LIMESTONE STREET,40508,605,2017-02-13,2019-06-20,77
101380,EL RELAJO (STATE MOBILE),153 CARLISLE AVE,40505,605,2016-12-01,2018-06-15,22
101406,TANDOOR INDIAN,"3146 MAPLE LEAF DR, STE 110",40509,11,2017-02-09,2025-10-06,106
101421,MEADOWTHORPE ASSISTED LIVING,171 LEESTOWN CENTER WAY,40511,605,2016-12-13,2023-12-19,76
101491,BLUEGRASS CHRISTIAN CAMP- OUTDOOR,,40509,CAMP- OUTDOOR,2025-07-14,2025-07-14,1
101514,METROPOLITAN DONUTS & COFFEE,3070 LAKECREST CIRCLE #600,40513,605,2017-01-05,2019-09-17,40
101519,THE WILLOWS AT FRITZ FARM,2710 MAN O WAR BLVD,40515,FARM,2017-02-06,2025-10-24,72
101532,PURE AESTHETIQUE,,40502,,2025-11-19,2025-11-19,1
101568,DOODLES BREAKFAST AND LUNCH STATE MOBILE,262 N LIMESTONE,40507,605,2017-01-12,2023-09-30,32
101573,FREDDY'S FROZEN CUSTARD,2500 POLO CLUB BLVD,40509,11,2017-01-20,2025-11-24,100
101580,J. ALEXANDERS @ LEXINGTON,4081 FINN WAY,40517,11,2017-03-08,2025-10-17,75
101601,RAMSEY'S COUNTRY STORE,3090 HELMSDALE PLACE STE 270,40509,610,2017-01-23,2019-12-04,4
101625,BAR ONA,108 CHURCH ST,40508,605,2017-06-28,2025-10-30,54
101684,APNA BAZAR,3146 MAPLELEAF DR SUITE 120,40509,610,2017-02-06,2025-11-14,9
101694,LA PETITE DELICAT,722 NATIONAL AVE,40502,11,2017-05-05,2025-12-02,69
101732,DOMINO'S 1359,"125 TOWNE CENTER DR, STE 127",40511,605,2017-02-14,2025-10-10,57
101748,YMCA SPLASHGROUND (OUTDOOR) HOLIDAY INN LEXINGTON HAMBURG,,40509,HOLIDAY INN LEXINGTON HAMBURG,2025-08-14,2025-08-14,1
101773,BARREL HOUSE DISTILLING CO,1200 MANCHESTER ST,40504,CO,2017-02-27,2025-11-03,59
101788,STARBUCKS #24662,4049 FINN WAY,40503,605,2017-07-06,2025-07-28,69
101799,MISS JANIE'S (STATE MOBILE),915 BYARS AVE,40505,605,2016-12-13,2016-12-13,1
101800,SCHNEIDER ELECTRIC FRONT MARKET,1601 MERCER RD,40511,610,2017-03-27,2023-08-10,8
101801,SCHNEIDER ELECTRIC BACK MARKET,1601 MERCER RD,40511,610,2017-03-27,2023-08-10,8
101802,VALVOLINE - AVI,3499 BLAZER PARKWAY,40509,610,2017-03-23,2019-05-29,57
101808,HOGFATHERS BBQ (STATE MOBILE),556 DUCHESS CT,40383,605,2017-02-23,2018-08-11,25
101889,HENRY CLAY SOFTBALL BOOSTERS,2100 FONTAINE RD,40502,605,2017-03-24,2023-11-03,45
101924,BROWN CHICKEN BROWN COW BBQ (COMM),962 DELAWARE AVE,40505,605,2017-03-16,2017-03-16,2
101925,SHAKE SHACK,115 SUMMIT @ FRITZ FARM SUITE 110,40517,605,2017-05-03,2025-10-07,82
101953,PINNACLE SPLASH PAD (OUTDOOR) CAMPUS COURT APARTMENTS - OUTDOOR,,40515,CAMPUS COURT APARTMENTS - OUTDOOR,2025-08-12,2025-08-12,1
101972,HIGHGROVE AT TATES CREEK,4251 SARON DR,40515,605,2017-04-20,2025-09-10,60
101985,RISE UP! PIZZA,175 E. LOUDON AVE #2,40508,605,2017-03-23,2020-06-19,31
102036,LEX VEGGIE POWER,1060 CHINOE RD #108,40502,605,2017-03-31,2017-03-31,2
102046,MISFIT COMMISSARY STATE MOBILE,618 PINE RIDGE RD,,,2017-03-30,2017-06-12,6
102056,"WEST MAIN CRAFTING CO. LUCKY DOG ENTERTAINMENT,DBA","135 W MAIN STREET, SUITE 100",40507,605,2017-04-28,2021-04-22,46
102072,PERMAHILL FARM,962 DELAWARE AVE,40505,605,2017-04-07,2017-04-07,3
102081,HONEYWOOD RESTAURANT,"110 SUMMIT AT FRITZ FARM AVE, SUITE 140",40503,11,2017-04-26,2025-07-30,76
102083,BLUEGRASS CONCESSIONS,LEGENDS BALL PARK,40505,603,2017-04-13,2022-04-27,8
102088,EDLEY'S BBQ,114 SUMMIT @ FRITZ FARM SUITE 110,40517,605,2017-04-21,2020-03-05,50
102120,CEDARHURST SENIOR LIVING,1165 MONARCH STREET,40513,11,2017-06-14,2025-10-22,70
102232,ANTHONY VINCE NAIL SPA,"122 MARION, SUITE 120",40517,605,2017-04-26,2025-10-29,80
102272,ROSA ANTOJITOS STATE MOBILE,STATE MOBILE,40516,605,2017-04-24,2023-03-28,33
102274,JOELLA'S HOT CHICKEN,2305 SIR BARTON WAY,40509,605,2017-05-09,2025-11-06,49
102275,BLAZE PIZZA,4049 FINN WAY #110,40517,605,2017-05-17,2025-10-16,58
102276,SELTZER,115 W MAIN STREET,40507,11,2017-04-28,2025-08-29,61
102349,IHOP RESTAURANT,2380 NORMAN LANE SUITE 110,40503,11,2017-05-15,2025-11-18,63
102350,COLLIVER FARMS,124 OLDHAM ROAD,40353,610,2017-06-03,2018-07-18,2
102352,REGGIES SNOWCONES,305 LINDENHURST DR #10102,40509,603,2017-09-15,2017-09-15,1
102356,VICTORY HEMP FOODS,1401 LOCUST STREET,40206,610,2017-06-03,2017-06-03,1
102359,TED'S MONTANA GRILL,120 SUMMIT AT FRITZ FARMS STE 180,40517,605,2017-06-01,2018-11-14,33
102380,ROSEMONT BAKEHOUSE (COMM),722 NATIONAL AVE,40502,605,2017-05-16,2017-05-16,4
102415,KYOTO JAPANESE KITCHEN,4101 TATES CREEK CENTER DR #136,40515,11,2017-05-25,2025-10-27,57
102422,LEXINGTON CHRISTIAN RETAIL,,40503,RETAIL,2025-09-15,2025-09-15,1
102438,LUSSI BROWN COFFEE BAR,114 CHURCH STREET,40507,605,2017-05-22,2025-07-23,50
102441,CATHOLIC ACTION CENTER,1055 INDUSTRY RD,40505,605,2017-11-21,2025-11-11,117
102481,LEXINGTON CHRISTIAN RETAIL 2,,40513,RETAIL 2,2025-10-22,2025-10-22,1
102498,MASTERSON STATION PARK SPRAYGROUND,,40511,SPRAYGROUND,2025-08-20,2025-08-20,1
102499,JACOBSON PARK SPRAYGROUND (OUTDOOR),,40509,(OUTDOOR),2025-08-06,2025-08-06,1
102502,WORLD OF BEER,"122 MARION ST, STE 150",40517,605,2017-06-30,2022-05-04,76
102503,"SCP COLDWORKS, LLC","111 SUMMIT AT FRITZ FARM, STE 110",40517,607,2017-06-01,2021-05-20,79
102504,TEXAS DE BRAZIL,"151 LARUE, STE 150",40517,11,2017-06-13,2025-11-13,68
102518,SIGNATURE CLUB - RT,3256 LANSDOWNE DRIVE,40502,605,2017-05-26,2020-08-19,40
102519,THE CUBAN CORNER,"1496 LEESTOWN RD., SUITE 125",40511,603,2021-01-11,2023-03-14,63
102520,GRIMALDI'S PIZZERIA,"118 MARION, STE 110",40517,11,2017-07-27,2025-11-18,64
102537,RIGHT BAYOU STATE MOBILE,"342 WALLER AVE., 3-G",40504,605,2017-05-25,2017-05-25,7
102595,"LUNCH LINE LLC, THE STATE MOBILE",212 ELKHORN MEADOWS,40324,605,2017-06-01,2017-06-01,4
102603,TAKERIA TORRES STATE MOBILE,1081 E NEW CIRCLE RD #26,40505,605,2017-06-06,2017-06-06,2
102625,BENNIGAN'S RESTAURANT,5532 ATHENS-BOONESBORO RD,40509,605,2017-06-08,2018-01-26,11
102626,WHOLE FOODS MARKET LLC,4055 FINN WAY,40517,55,2017-06-21,2025-12-03,100
102652,GENJI - SUSHI BAR,4059 FINN WAY,40517,11,2017-06-20,2025-11-17,63
102669,"LA BONNE VIC, LLC","1060 CHINOE RD, STE 108",40502,605,2017-06-14,2017-06-14,3
102674,NATHANIEL MISSIONARY SOCIETY KITCHEN,550 W 6TH ST,,,2017-06-08,2018-06-07,15
102696,CORELIFE EATERY,"4040 FINN WAY, STE 110",40517,605,2017-07-31,2023-11-21,98
102703,MOD PIZZA,"4101 TATES CREEK CENTRE , STE 140",40517,11,2017-06-20,2024-06-24,73
102741,BLACK ROSE TATTOO,,40507,,2025-12-10,2025-12-10,1
102794,ROYAL HARVEST MARKET LLC FARMERS RETAIL,567 RED HAWK LN,42718,610,2017-06-24,2020-08-04,2
102795,REPICCI'S ITALIAN ICE OF THE BLUEGRASS ST MOBILE,222 WILSON DOWNING RD,40517,605,2017-06-20,2019-08-17,46
102796,MIMI'S SOUTHERN STYLE COOKING STATE MOBILE,126 E NEW CIRCLE RD,40505,605,2017-06-20,2019-07-16,19
102804,EL COSTENO JR,1144 WINBURN DR,40511,605,2017-06-20,2021-06-09,16
102837,NATHANS FOODS,2548 LANGSTANE LN,40511,605,2017-06-22,2021-06-02,34
102838,PIG AND PEPPER BAKING CO.,962 DELAWARE AVE,40505,605,2017-06-28,2018-06-29,17
102839,TAZIKIS MEDITERRANEAN CAFE,1916 JUSTICE DRIVE,40509,605,2017-07-05,2020-03-18,39
102856,GRINGO'S,537 CLAYMONT DR,40511,605,2017-06-27,2018-07-11,49
102882,OUSLEY WHOLESALE,1205 E. NEW CIRCLE RD,40505,610,2017-12-07,2020-11-30,9
102895,BLUE SUSHI SAKE GRILL,105 SUMMIT AT FRITZ PARK STE 130,40517,605,2017-08-14,2025-10-20,78
102942,TACO LOCO STATE MOBILE,118 PARIS AVE,40505,605,2017-07-06,2021-05-26,13
102964,GALLOPS INC,5355 ATHENS BOONESBORO RD,40509,55,2017-08-04,2025-11-14,94
102973,CRU A WINE BAR AND RESTAURANT,107 SUMMIT AT FRITZ FARMS #120,40517,11,2017-07-14,2024-06-27,65
103011,KENTUCKY Q LLC,3901 RAPID RUN DR APT #13,40515,52,2017-07-20,2025-08-16,38
103074,DUTCH'S BAKE SHOP,"185 PASADENA DRIVE, STE 150",40505,610,2017-05-10,2017-05-10,1
103108,FREDERICK DOUGLASS HIGH SCHOOL,2800 WINCHESTER RD,40509,SCHOOL,2017-08-10,2025-10-16,48
103109,FREDERICK DOUGLAS HIGH SCHOOL,,40509,SCHOOL,2025-10-16,2025-10-16,1
103121,NEPAL VEGAN,962 DELAWARE AVE,40505,605,2017-08-04,2018-12-13,15
103122,THE GINGKO TREE,1305 FINCASTLE RD,40502,605,2017-08-02,2023-08-18,52
103129,LEWIS HALL CAFE,1120 UNIVERSITY DRIVE #U-138,40526,605,2017-08-17,2019-11-19,31
103170,"LOCO ICE, DBA KENTUCKY SHAVED ICE SHAVED ICE",3101 CLAYS MILL RD,40503,SHAVED ICE,2017-08-10,2025-08-06,6
103182,FIDA'S CARRIBEAN CAFE - COMMISSARY,340 EAST NEW CIRCLE RD,40505,605,2017-08-10,2018-01-24,4
103206,DOUBLE DOGS,"1916 JUSTICE DRIVE, STE 130",40509,605,2017-08-31,2025-11-06,70
103232,PAPA JOHN'S #4861,400 HILLTOP AVE,40508,605,2017-08-17,2022-10-31,63
103246,ATOMIC RAMEN,119 MARION SUITE 195,40517,605,2017-08-30,2019-10-21,53
103247,CRANK & BOOM,119 MARION SUITE 150,40517,607,2017-08-15,2020-01-16,33
103291,BEAR DAWGS PUSH CART,704 PASADENA DR,40503,605,2017-08-17,2019-01-25,8
103315,SMITHTOWN SEAFOOD AT THE SUMMIT,119 MARION SUITE 160,40517,605,2017-08-29,2020-01-17,44
103325,JIMMY JOHN'S,427 REDDING RD,40517,11,2017-08-29,2025-07-07,58
103369,WESTCHESTER ON THE CIRCLE (OUTDOOR POOL),,40511,(OUTDOOR POOL),2025-07-28,2025-07-28,1
103370,POJO'S POP STATION,"119 MARION, STE 180",40517,605,2017-09-05,2019-12-09,44
103371,WHISKEY BEAR,"119 MARION, STE 170",40517,605,2017-09-07,2021-09-13,47
103381,LEGACY RESERVE AT FRITZ FARM,2700 MAN O WAR BLVD,40515,FARM,2017-09-22,2025-11-05,59
103401,KROGER FIELD CONCESSION #178,1540 UNIVERSITY DR,40506,#178,2017-09-09,2025-10-18,49
103402,KROGER FIELD LONGSHIP,1540 UNIVERSITY DR,40506,610,2017-09-09,2025-10-22,36
103403,KROGER FIELD CONCESSION #156,1540 UNIVERSITY DR,40506,#156,2017-09-09,2025-10-18,55
103405,THE CATTLE DRIVE,4561 IRON WORKS PIKE,40511,605,2017-09-08,2022-02-22,56
103412,EL GRINGOS,2151 CHRISTIAN RD,40509,605,2017-09-05,2018-03-26,19
103449,FOOD CHAIN INC,501 W 6TH ST,40508,605,2017-10-05,2025-08-27,33
103479,JERSEY MIKE'S SUBS WAR ADMIRAL,2200 WAR ADMIRAL WAY SUITE 175,40509,ADMIRAL,2017-09-25,2025-11-10,61
103480,ATHENIAN GRILL AT FRITZ FARM LLC,119 MARION SUITE 110 & 120,40517,607,2017-09-21,2020-01-16,103
103560,BOURBON N' TOULOUSE COMMISSARY,812 EUCLID AVE,40502,COMMISSARY,2017-09-28,2025-11-18,36
103563,PIZZA HUT #6006026,1650 BRYAN STATION RD #118,40505,605,2017-11-08,2025-08-27,50
103583,EL TROMPO,1205 VERSAILLES RD,40508,605,2017-09-28,2017-09-28,8
103594,FIDAS CARIBBEAN CAFE,601 NORTH LIMESTONE,40508,605,2017-10-26,2018-12-06,25
103595,TACOS SAN JUAN MOBILE,139 ALAMO DR,40324,605,2017-09-29,2017-09-29,2
103601,CLARK'S PUMP N SHOP VERSAILLES RD,1419 VERSAILLES RD,40504,VERSAILLES RD,2017-10-03,2025-08-01,119
103602,BABALU TAPAS AND TACOS,4040 FINN WAY SUITE 150,40517,605,2017-10-12,2019-04-25,39
103603,MR. BREWS TAPHOUSE,220 RUCCIO WAY SUITE 110,40503,605,2017-12-11,2025-10-13,55
103630,JASON'S DELI,134 MALABU DR,40503,605,2017-10-30,2025-10-27,61
103661,MARTINE'S PASTRIES,400 E. THIRD ST,40508,605,2018-03-23,2025-10-23,55
103662,KYLE'S KITCHEN (STATE MOBILE),908 HICKORY HILL,40356,605,2017-10-13,2021-05-17,16
103663,THE MILL BAKERY,341 SOUTHLAND DR,40503,605,2017-10-20,2019-03-13,30
103707,CASTLEWOOD PARK SPRAY (OUTDOOR),,40505,(OUTDOOR),2025-08-07,2025-08-07,1
103708,DOUGLAS PARK SPRAYGROUND,,40508,,2025-08-12,2025-08-12,1
103713,"THAILAND EXPRESS, THE",556 COLUMBIA AVE,40508,605,2017-10-20,2018-06-12,17
103714,"DOUGH BUG, THE",962 DELAWARE AVE,40505,605,2017-10-31,2018-06-29,14
103735,CRAWFORD MIDDLE SCHOOL CONCESSIONS CONCESSIONS,1813 CHARLES DR,40505,CONCESSIONS,2017-11-06,2025-10-24,10
103740,ADELINE'S CAKE ARTISTRY,720 BRYAN AVE,40505,605,2017-11-16,2018-06-13,20
103743,INDEPENDENCE HOMES #1,507 ROGERS RD,40505,605,2017-10-20,2025-11-05,21
103803,RANADA'S KITCHEN,312 S. ASHLAND AVE,40502,605,2017-11-09,2020-07-23,4
103804,BLVD GRILL,844 HAYS BLVD,40509,605,2017-11-30,2024-02-07,63
103827,KENTUCKY BLENDED NUTRITION EAST,170 N EAGLE CREEK,40509,605,2017-11-20,2019-05-03,30
103844,MCDONALD'S,3100 PIMLICO PKWY,40517,605,2017-11-28,2025-08-13,52
103847,LAFAYETTE BASKETBALL/VOLLEYBALL CONCESSION,401 REED LANE,40503,603,2018-04-27,2019-11-25,3
103849,UK HOT CRAFT MEN'S LOCKER ROOM #2- INDOOR,,40508,ROOM #2- INDOOR,2025-11-25,2025-11-25,1
103850,UK COLD CRAFT MEN'S LOCKER ROOM #1- INDOOR,,40508,LOCKER ROOM #1- INDOOR,2025-11-25,2025-11-25,1
103893,JOSANNE'S,3449 BUCKHORN DR,40515,11,2017-11-27,2024-05-23,56
103920,TOWNE PLACE SUITES BY MARRIOTT - INDOOR,,40513,MARRIOTT - INDOOR,2025-09-22,2025-09-22,1
104025,LA PETITE ACADEMY,148 MALABU DR,40503,605,2018-01-10,2025-11-06,39
104033,PIETANA,210 ROSEMONT GARDEN,40503,605,2017-12-21,2025-11-17,49
104064,QUIET PLEASE,269 W MAIN ST 1ST FLR G,40507,605,2018-02-08,2019-03-22,20
104065,AMAZON FUFILLMENT LEX 2 MAIN CAFE- MKT C,172 TRADE ST,40511,2 MAIN CAFE- MKT,2018-09-07,2025-11-18,7
104066,AMAZON FULFILLMENT-LEX 2 GLASS RM (FKA BLDG 2),172 TRADE ST,40511,2 GLASS RM (FKA,2018-09-13,2025-11-18,7
104067,AMAZON FUFILLMENT-LEX 1 A-MKT C,1850 MERCER RD,40511,1 A-MKT C,2018-09-19,2025-10-28,10
104068,AMAZON FUFILLMENT-LEX 1 NEW C-MKT C,1850 MERCER RD,40511,1 NEW C-MKT C,2018-09-19,2025-10-28,9
104109,LA BONNE VIE PERSONAL CHEF SERVICES,962 DELAWARE AVE,40505,605,2018-01-05,2022-03-04,30
104110,TAQUERIA SAN MIGUEL,3429 BUCKHORN #120,40515,11,2018-01-05,2025-11-21,40
104114,CENTRAL CHRISTIAN CHILD DEVELOPMENT CENTER,105 SPRUCE ST #125,40507,DEVELOPMENT CENTER,2018-01-11,2025-11-12,43
104115,JIMMY JOHN'S,105 N MILL ST,40507,605,2018-01-09,2025-08-21,78
104142,OSCAR DIGGS,155 N. LIMESTONE,40507,605,2018-01-16,2022-01-21,42
104158,UK CHAMPION'S KITCHEN  - STUDENT CENTER,160 AVE OF CHAMPIONS,40506,11,2018-01-04,2025-11-13,47
104180,THE FOX CLUB,987 WINCHESTER RD,40505,605,2018-02-09,2020-02-25,26
104210,DOLLAR TREE #7458,3101 CLAYS MILL RD STE 113,40503,610,2018-02-23,2025-09-03,16
104244,TOWNE PLACE SUITES BY MARRIOTT LEXINGTON KEENELAND,980 MIDNIGHT PASS,40513,MARRIOTT LEXINGTON,2018-02-21,2025-10-31,75
104290,SURE STAY PLUS BY BEST WESTERN,2241 ELKHORN RD,40505,605,2018-03-22,2021-05-18,40
104306,WILD DEUTSCHAND,610 W THIRD ST,40508,605,2018-02-07,2020-11-19,28
104307,STEEL CITY POPS RESTRICTED CONCESSION #1,"111 SUMMIT@FRITZ FARM, STE 110",40517,603,2020-02-19,2020-02-19,1
104308,STEEL CITY POPS RESTRICTED CONCESSION #2,"111 SUMMIT @ FRITZ FARM, STE 110",40517,603,2020-02-19,2020-02-19,1
104309,BREWED,"124 MALABU DR., STE 110",40503,605,2018-02-09,2022-12-13,36
104338,DOLLAR GENERAL STORE #18131,2167 N. BROADWAY,40505,610,2018-03-23,2024-01-08,10
104347,BLESSED BRO'S BAR & GRILL,909 WINCHESTER RD,40505,GRILL,2018-03-12,2025-12-10,49
104358,GET IN SHAPE KY,"1801 ALEXANDRIA DR, STE 54",40504,605,2018-02-16,2020-02-19,25
104360,LAFAYETTE HS BASEBALL BOOSTERS CONCESSION,401 REED LANE,40503,BOOSTERS CONCESSION,2018-04-27,2025-10-13,26
104468,TACOS 3 HERMANOS (STATE MOBILE),803 CHERRY LANE,40504,605,2019-10-23,2019-10-23,2
104469,FREDERICK DOUGLASS HS INDOOR CONCESSION,2000 WINCHESTER RD,40509,INDOOR CONCESSION,2018-04-16,2025-10-16,48
104470,FREDERICK DOUGLASS HS OUTSIDE CONCESSION,2000 WINCHESTER RD,40509,OUTSIDE CONCESSION,2018-04-16,2025-10-16,42
104514,GOKU,1649 LIBERTY RD,40505,605,2018-04-25,2018-08-23,7
104515,TACO TIME DR STATE MOBILE,3490 RIVER PARK,40517,605,2018-03-07,2019-03-12,13
104547,FROM THE HEART CATERING,962 DELWARE AVE,40505,605,2018-03-21,2018-10-01,16
